"filename", "language", "YAML", "Dart", "Groovy", "Properties", "Swift", "JSON", "Markdown", "C++", "HTML", "XML", "CMake", "comment", "blank", "total"
"d:\stylish_ecommerce\lib\data\model\error_model\error_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 23, 82
"d:\stylish_ecommerce\lib\data\model\error_model\error_model.g.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 45
"d:\stylish_ecommerce\lib\data\model\network_exception\network_exception.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 26, 221
"d:\stylish_ecommerce\lib\data\model\network_exception\network_exception.freezed.dart", "Dart", 0, 3523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 277, 3866
"d:\stylish_ecommerce\lib\data\model\user_api\register\sign_up_request_body.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 35
"d:\stylish_ecommerce\lib\data\model\user_api\register\sign_up_request_body.g.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\stylish_ecommerce\lib\data\model\user_api\register\sign_up_response_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 78
"d:\stylish_ecommerce\lib\data\model\user_api\register\sign_up_response_model.g.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 46
"d:\stylish_ecommerce\lib\data\model\user_api\sign_in\sign_in_request_body.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 27
"d:\stylish_ecommerce\lib\data\model\user_api\sign_in\sign_in_request_body.g.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\stylish_ecommerce\lib\data\model\user_api\sign_in\sign_in_response_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 78
"d:\stylish_ecommerce\lib\data\model\user_api\sign_in\sign_in_response_model.g.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 46
"d:\stylish_ecommerce\lib\data\repository\sign_in_post_repo.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 48
"d:\stylish_ecommerce\lib\data\repository\sign_up_post_repo.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 48
"d:\stylish_ecommerce\lib\data\web_services\delete.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 42
